央视,#genre#
CCTV-1,http://39.135.138.59:18890/PLTV/88888910/224/3221225618/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225762/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225918/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226154/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226527/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226541/index.m3u8#http://223.110.241.150:6610/gitv/live1/G_CCTV-1-CQ/G_CCTV-1-CQ/#http://223.110.241.150:6610/gitv/live1/G_CCTV-1/G_CCTV-1/#http://112.17.40.145/PLTV/88888888/224/3221226541/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226589/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226527/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226154/index.m3u8#http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221226316/index.m3u8#http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221227462/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226541/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226589/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226527/index.m3u8#http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-1H265.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226154/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226527/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226541/index.m3u8
CCTV-2,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226138/index.m3u8#http://223.110.241.150:6610/gitv/live1/G_CCTV-2-CQ/G_CCTV-2-CQ/#http://223.110.241.150:6610/gitv/live1/G_CCTV-2/G_CCTV-2/#http://39.135.33.161/PLTV/88888888/224/3221226313/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226468/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226138/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226468/index.m3u8#http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-2H265.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226138/index.m3u8
CCTV-3,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225647/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226431/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226485/index.m3u8#http://223.110.241.150:6610/gitv/live1/G_CCTV-3-CQ/G_CCTV-3-CQ/#http://39.135.33.164/PLTV/88888888/224/3221226244/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226431/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226485/index.m3u8#http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226360/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226431/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226485/index.m3u8#http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-3H265.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226431/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226485/index.m3u8
CCTV-4,http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8#http://223.110.241.150:6610/gitv/live1/G_CCTV-4-CQ/G_CCTV-4-CQ/#http://112.17.40.145/PLTV/88888888/224/3221226171/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226732/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226171/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226732/index.m3u8#http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-4H265.m3u8
CCTV-5,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226328/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226400/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226554/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226556/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226560/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226645/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226649/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226687/index.m3u8#http://223.110.241.150:6610/gitv/live1/G_CCTV-5-CQ/G_CCTV-5-CQ/#http://39.135.33.161/PLTV/88888888/224/3221226315/index.m3u8#http://39.135.33.165/PLTV/88888888/224/3221226260/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226687/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226400/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226554/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226556/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226560/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226645/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226649/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226562/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226328/index.m3u8#http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221227401/index.m3u8#http://223.110.243.136/PLTV/4/224/3221227537/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226400/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226687/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226328/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226562/index.m3u8#http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-5H265.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226328/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226400/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226554/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226556/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226560/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226645/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226649/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226687/index.m3u8
CCTV-6,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226433/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226487/index.m3u8#http://223.110.241.150:6610/gitv/live1/G_CCTV-6-CQ/G_CCTV-6-CQ/#http://39.135.33.165/PLTV/88888888/224/3221226246/index.m3u8#http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226433/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226487/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226433/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226487/index.m3u8#http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225548/index.m3u8#http://223.110.245.139/ott.js.chinamobile.com/PLTV/3/224/3221227209/index.m3u8#http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221227209/index.m3u8#http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221227301/index.m3u8#http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-6H265.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226433/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226487/index.m3u8
CCTV-7,http://39.135.138.59:18890/PLTV/88888910/224/3221225624/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226122/index.m3u8#http://223.110.241.150:6610/gitv/live1/G_CCTV-7-HQ/G_CCTV-7-HQ/#http://39.135.33.162/PLTV/88888888/224/3221226238/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226470/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226122/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226122/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226470/index.m3u8#http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-7H265.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226122/index.m3u8
CCTV-8,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225635/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226330/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226493/index.m3u8#http://223.110.241.150:6610/gitv/live1/G_CCTV-8-CQ/G_CCTV-8-CQ/#http://223.110.241.150:6610/gitv/live1/G_CCTV-8/G_CCTV-8/#http://112.17.40.145/PLTV/88888888/224/3221226330/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226493/index.m3u8#http://223.110.245.155/ott.js.chinamobile.com/PLTV/3/224/3221227304/index.m3u8#http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221227204/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226330/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226493/index.m3u8#http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-8H265.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226330/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226493/index.m3u8
CCTV-9,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225646/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226156/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226561/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226156/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226156/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226199/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226561/index.m3u8#http://223.110.241.150:6610/gitv/live1/G_CCTV-9/G_CCTV-9/#http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-9H265.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226156/index.m3u8
CCTV-10,http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225636/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226199/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226472/index.m3u8#http://223.110.241.150:6610/gitv/live1/G_CCTV-10-HQ/G_CCTV-10-HQ/#http://112.17.40.145/PLTV/88888888/224/3221226472/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226199/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226472/index.m3u8#http://223.110.245.163/ott.js.chinamobile.com/PLTV/3/224/3221227317/index.m3u8#http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-10H265.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226199/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226472/index.m3u8
